"","orient","site",".value"
"298","top - bot","fb",-1.57388958674053
"299","top - bot","fb",-1.82315366064975
"300","top - bot","fb",-1.87525510652381
"301","top - bot","fb",-1.59667418303251
"302","top - bot","fb",-1.82809750844883
"303","top - bot","fb",-1.59742507236546
"304","top - bot","fb",-1.92967468703783
"305","top - bot","fb",-1.66816404695316
"306","top - bot","fb",-1.63247593653763
"307","top - bot","fb",-1.53643597168992
"308","top - bot","fb",-2.16626710627294
"309","top - bot","fb",-1.94337065682255
"310","top - bot","fb",-1.76955515317451
"311","top - bot","fb",-1.54573731226127
"312","top - bot","fb",-1.89858726409987
"313","top - bot","fb",-1.53005649613138
"314","top - bot","fb",-1.7359357452165
"315","top - bot","fb",-1.80295036175806
"316","top - bot","fb",-2.05940703107356
"317","top - bot","fb",-1.55191121184462
"318","top - bot","fb",-1.97681281593736
"319","top - bot","fb",-1.78859804498533
"320","top - bot","fb",-2.01326237096954
"321","top - bot","fb",-2.06465694767809
"322","top - bot","fb",-2.35076177159327
"323","top - bot","fb",-2.50773440858744
"324","top - bot","fb",-2.42238753475762
"325","top - bot","fb",-2.19127129647031
"326","top - bot","fb",-2.56227486730784
"327","top - bot","fb",-2.05755812743771
"328","top - bot","fb",-2.04009757398551
"329","top - bot","fb",-2.55278190624155
"330","top - bot","fb",-2.1429081399357
"331","top - bot","fb",-2.87405130537682
"332","top - bot","fb",-0.988640665417285
"333","top - bot","fb",-1.31024950863224
"334","top - bot","fb",-1.21135125337236
"335","top - bot","fb",-1.1002338370554
"336","top - bot","fb",-1.9067393458834
"337","top - bot","fb",-1.85788332933234
"338","top - bot","fb",-1.97020689364662
"339","top - bot","fb",-1.64392612949766
"340","top - bot","fb",-1.39090642025021
"341","top - bot","fb",-1.69529837848926
"342","top - bot","fb",-1.73696415942851
"343","top - bot","fb",-2.0429822830482
"344","top - bot","fb",-1.48333691421434
"345","top - bot","fb",-1.51417600267184
"346","top - bot","fb",-1.79098562544873
"347","top - bot","fb",-2.10160553703012
"348","top - bot","fb",-2.02387889327711
"349","top - bot","fb",-2.04393890866881
"350","top - bot","fb",-2.18097719085745
"351","top - bot","fb",-2.21601621089829
"352","top - bot","fb",-2.10901736365468
"353","top - bot","fb",-2.12666368775358
"354","top - bot","fb",-2.27544578499759
"355","top - bot","fb",-1.90567097054245
"356","top - bot","fb",-1.85074550264115
"357","top - bot","fb",-2.32159810153883
"358","top - bot","fb",-1.68115996335418
"359","top - bot","fb",-2.15585666102997
"360","top - bot","fb",-1.43484419798545
"361","top - bot","fb",-1.39261339553042
"362","top - bot","fb",-1.18145613618562
"363","top - bot","fb",-1.72218806593437
"364","top - bot","fb",-1.37804139667553
"365","top - bot","fb",-1.4733890443105
"366","top - bot","fb",-1.73004835344125
"367","top - bot","fb",-1.57440886725739
"368","top - bot","fb",-1.45163704704097
"369","top - bot","fb",-1.22633599825502
"370","top - bot","fb",-1.30371453561173
"371","top - bot","fb",-1.49396291118553
"372","top - bot","fb",-1.46711095520978
"373","top - bot","fb",-1.38305227008086
"374","top - bot","fb",-1.82831867892556
"375","top - bot","fb",-1.55409055195867
"376","top - bot","fb",-1.76420871042675
"377","top - bot","fb",-1.57065401312589
"378","top - bot","fb",-1.97290698659018
"379","top - bot","fb",-2.125726201887
"380","top - bot","fb",-1.82274393905163
"381","top - bot","fb",-1.95872734364138
"382","top - bot","fb",-1.83495619251642
"383","top - bot","fb",-2.14964426200235
"384","top - bot","fb",-1.69181055820727
"385","top - bot","fb",-1.86110736064341
"386","top - bot","fb",-2.11084548911133
"387","top - bot","fb",-1.78673832921947
"388","top - bot","fb",-1.84004334628927
"389","top - bot","fb",-1.61805004477964
"390","top - bot","fb",-1.57899186650579
"391","top - bot","fb",-1.47987924542386
"392","top - bot","fb",-1.79388594119899
"393","top - bot","fb",-1.52192297018898
"394","top - bot","fb",-1.93821879798027
"395","top - bot","fb",-1.77702187770604
"396","top - bot","fb",-2.54368737345111
"397","top - bot","fb",-2.32724187583138
"398","top - bot","fb",-2.30741793049094
"399","top - bot","fb",-2.64644527858876
"400","top - bot","fb",-1.52279199908548
"401","top - bot","fb",-2.39195641883163
"402","top - bot","fb",-1.72358306330681
"403","top - bot","fb",-1.76032026059071
"404","top - bot","fb",-1.76266798057166
"405","top - bot","fb",-2.16657128485806
"406","top - bot","fb",-1.9371235797605
"407","top - bot","fb",-1.8022545086828
"408","top - bot","fb",-1.69170796647503
"409","top - bot","fb",-1.69328425109121
"410","top - bot","fb",-1.75658218442156
"411","top - bot","fb",-1.80426162193714
"412","top - bot","fb",-2.04259509540929
"413","top - bot","fb",-1.81849196496723
"414","top - bot","fb",-1.79607599311005
"415","top - bot","fb",-1.91458834800682
"416","top - bot","fb",-1.80335154247433
"417","top - bot","fb",-2.51593942227586
"418","top - bot","fb",-2.09817021875149
"419","top - bot","fb",-1.68435732674345
"420","top - bot","fb",-1.86589823046964
"421","top - bot","fb",-1.87033225661562
"422","top - bot","fb",-1.85190384818388
"423","top - bot","fb",-2.05841369836933
"424","top - bot","fb",-1.82429688807949
"425","top - bot","fb",-1.63576550091668
"426","top - bot","fb",-1.77130883466495
"427","top - bot","fb",-1.86071415359337
"428","top - bot","fb",-2.14146730942008
"429","top - bot","fb",-1.27716811783765
"430","top - bot","fb",-1.38124287458588
"431","top - bot","fb",-1.31116248275092
"432","top - bot","fb",-1.16683114855007
"433","top - bot","fb",-0.730431623041852
"434","top - bot","fb",-1.06533210451872
"435","top - bot","fb",-1.53388608989074
"436","top - bot","fb",-1.94477077662756
"437","top - bot","fb",-1.49643216148898
"438","top - bot","fb",-1.79477933109368
"439","top - bot","fb",-1.87431847918245
"440","top - bot","fb",-1.74168034971248
"441","top - bot","fb",-1.66243185583312
"442","top - bot","fb",-1.41133971710274
"443","top - bot","fb",-1.78102023568352
"444","top - bot","fb",-2.85341148374196
"445","top - bot","fb",-2.42682598565839
"446","top - bot","fb",-2.50744154226777
"447","top - bot","fb",-2.14854577580865
"448","top - bot","fb",-1.95482752566524
"449","top - bot","fb",-2.07827452544776
"450","top - bot","fb",-1.35646676651689
"451","top - bot","fb",-1.05124703125966
"452","top - bot","fb",-1.4487672533643
"453","top - bot","fb",-1.7597780927812
"454","top - bot","fb",-1.58398280512123
"455","top - bot","fb",-2.1113471993581
"456","top - bot","fb",-2.21823163320644
"457","top - bot","fb",-1.9683897926279
"458","top - bot","fb",-1.8502325190976
"459","top - bot","fb",-1.95104269834219
"460","top - bot","fb",-2.23156144792791
"461","top - bot","fb",-1.60615571277973
"462","top - bot","fb",-1.84483581620625
"463","top - bot","fb",-1.69481122119181
"464","top - bot","fb",-1.31268120766087
"465","top - bot","fb",-1.3241876736593
"466","top - bot","fb",-1.19244181703959
"467","top - bot","fb",-1.63835323832459
"468","top - bot","fb",-1.7038815532076
"469","top - bot","fb",-1.81619190512144
"470","top - bot","fb",-1.91923355238215
"471","top - bot","fb",-1.91261626868657
"472","top - bot","fb",-1.9294185419988
"473","top - bot","fb",-1.87416511301866
"474","top - bot","fb",-1.97838007848778
"475","top - bot","fb",-1.9232089447065
"476","top - bot","fb",-1.60661198557795
"477","top - bot","fb",-1.66700398419255
"478","top - bot","fb",-1.44106585699056
"479","top - bot","fb",-1.52128971100731
"480","top - bot","fb",-1.21733693412742
"481","top - bot","fb",-1.47787507466251
"482","top - bot","fb",-1.54839638673952
"483","top - bot","fb",-1.63468648306182
"484","top - bot","fb",-1.92022170643501
"485","top - bot","fb",-1.94277050170293
"486","top - bot","fb",-1.61565696294106
"487","top - bot","fb",-1.76109577793093
"488","top - bot","fb",-1.98813999763855
"489","top - bot","fb",-1.6736801498098
"490","top - bot","fb",-1.97022006943277
"491","top - bot","fb",-1.77444369732872
"492","top - bot","fb",-1.83507427815869
"493","top - bot","fb",-2.1727213574031
"494","top - bot","fb",-2.12349448068027
"495","top - bot","fb",-2.12852847219328
"496","top - bot","fb",-2.07368695450097
"497","top - bot","fb",-2.33693891764885
"498","top - bot","fb",-1.80357968067492
"499","top - bot","fb",-2.34217525734509
"500","top - bot","fb",-2.22766909312478
"501","top - bot","fb",-2.51329473883546
"502","top - bot","fb",-2.59930861769858
"503","top - bot","fb",-1.6830769252909
"504","top - bot","fb",-1.81403861805583
"505","top - bot","fb",-1.34190886054607
"506","top - bot","fb",-1.88739909662927
"507","top - bot","fb",-1.4117467412679
"508","top - bot","fb",-1.59956721834264
"509","top - bot","fb",-1.01283380293615
"510","top - bot","fb",-1.19646354707827
"511","top - bot","fb",-1.32638093348094
"512","top - bot","fb",-0.764333409520373
"513","top - bot","fb",-1.80743478627555
"514","top - bot","fb",-1.30264069360971
"515","top - bot","fb",-1.81889477635234
"516","top - bot","fb",-1.63542955313462
"517","top - bot","fb",-1.39192184764763
"518","top - bot","fb",-1.71224878978219
"519","top - bot","fb",-1.67507349722337
"520","top - bot","fb",-1.05736778571019
"521","top - bot","fb",-1.4746758624558
"522","top - bot","fb",-1.20804411493146
"523","top - bot","fb",-1.40148972378088
"524","top - bot","fb",-1.60005762918417
"525","top - bot","fb",-1.58423170625471
"526","top - bot","fb",-1.57843911832785
"527","top - bot","fb",-1.55443974117927
"528","top - bot","fb",-2.284026278824
"529","top - bot","fb",-2.08268750424067
"530","top - bot","fb",-2.59391926390311
"531","top - bot","fb",-2.38504289283853
"532","top - bot","fb",-1.43760012333907
"533","top - bot","fb",-1.29511190334043
"534","top - bot","fb",-1.57224425183577
"535","top - bot","fb",-1.56171327336198
"536","top - bot","fb",-1.58780936637578
"537","top - bot","fb",-1.22564780382605
"538","top - bot","fb",-2.09164992076869
"539","top - bot","fb",-2.01225921969181
"540","top - bot","fb",-2.26720078322325
"541","top - bot","fb",-2.21389748567768
